output_id,source,image_id,patch_type,image_path,output_image,output_label,bbox_area_ratio
exports_qgis_site12_large,exports_qgis,site12_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site12_large.png,data\yolo_sites\images\all\exports_qgis_site12_large.png,data\yolo_sites\labels\all\exports_qgis_site12_large.txt,0.379718
exports_qgis_site12_patch05,exports_qgis,site12_patch05,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site12_patch05.png,data\yolo_sites\images\all\exports_qgis_site12_patch05.png,data\yolo_sites\labels\all\exports_qgis_site12_patch05.txt,0.389920
exports_qgis_site13_large,exports_qgis,site13_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site13_large.png,data\yolo_sites\images\all\exports_qgis_site13_large.png,data\yolo_sites\labels\all\exports_qgis_site13_large.txt,0.333942
exports_qgis_site14_large,exports_qgis,site14_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site14_large.png,data\yolo_sites\images\all\exports_qgis_site14_large.png,data\yolo_sites\labels\all\exports_qgis_site14_large.txt,0.429765
exports_qgis_site15_patch01,exports_qgis,site15_patch01,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site15_patch01.png,data\yolo_sites\images\all\exports_qgis_site15_patch01.png,data\yolo_sites\labels\all\exports_qgis_site15_patch01.txt,0.192025
exports_qgis_auto_site02_patch,exports_qgis_auto,site02_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site02_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site02_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site02_patch.txt,0.184510
exports_qgis_auto_site02_tres_large,exports_qgis_auto,site02_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site02_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site02_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site02_tres_large.txt,0.124687
exports_qgis_auto_site03_large,exports_qgis_auto,site03_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_large.png,data\yolo_sites\images\all\exports_qgis_auto_site03_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_large.txt,0.301188
exports_qgis_auto_site03_patch,exports_qgis_auto,site03_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site03_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_patch.txt,0.474989
exports_qgis_auto_site03_tres_large,exports_qgis_auto,site03_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site03_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site03_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site03_tres_large.txt,0.592473
exports_qgis_auto_site04_patch,exports_qgis_auto,site04_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site04_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site04_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site04_patch.txt,0.503648
exports_qgis_auto_site05_large,exports_qgis_auto,site05_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_large.png,data\yolo_sites\images\all\exports_qgis_auto_site05_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_large.txt,0.035663
exports_qgis_auto_site05_patch,exports_qgis_auto,site05_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site05_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_patch.txt,0.590572
exports_qgis_auto_site05_tres_large,exports_qgis_auto,site05_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site05_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_tres_large.txt,0.008108
exports_qgis_auto_site06_large,exports_qgis_auto,site06_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site06_large.png,data\yolo_sites\images\all\exports_qgis_auto_site06_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site06_large.txt,0.482647
exports_qgis_auto_site06_patch,exports_qgis_auto,site06_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site06_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site06_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site06_patch.txt,0.588464
exports_qgis_auto_site07_large,exports_qgis_auto,site07_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site07_large.png,data\yolo_sites\images\all\exports_qgis_auto_site07_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site07_large.txt,0.008036
exports_qgis_auto_site07_patch,exports_qgis_auto,site07_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site07_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site07_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site07_patch.txt,0.415287
exports_qgis_auto_site08_large,exports_qgis_auto,site08_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_large.png,data\yolo_sites\images\all\exports_qgis_auto_site08_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_large.txt,0.106677
exports_qgis_auto_site08_patch,exports_qgis_auto,site08_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site08_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_patch.txt,0.603630
exports_qgis_auto_site08_tres_large,exports_qgis_auto,site08_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site08_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_tres_large.txt,0.030911
exports_qgis_auto_site09_large,exports_qgis_auto,site09_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site09_large.png,data\yolo_sites\images\all\exports_qgis_auto_site09_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site09_large.txt,0.522020
exports_qgis_auto_site09_patch,exports_qgis_auto,site09_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site09_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site09_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site09_patch.txt,0.563488
exports_qgis_auto_site10_large,exports_qgis_auto,site10_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_large.png,data\yolo_sites\images\all\exports_qgis_auto_site10_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_large.txt,0.011011
exports_qgis_auto_site10_patch,exports_qgis_auto,site10_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site10_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_patch.txt,0.482178
exports_qgis_auto_site10_tres_large,exports_qgis_auto,site10_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site10_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_tres_large.txt,0.138317
exports_qgis_auto_site11_large,exports_qgis_auto,site11_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_large.png,data\yolo_sites\images\all\exports_qgis_auto_site11_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_large.txt,0.130317
exports_qgis_auto_site11_patch,exports_qgis_auto,site11_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site11_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_patch.txt,0.646584
exports_qgis_auto_site11_tres_large,exports_qgis_auto,site11_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site11_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_tres_large.txt,0.646996
exports_qgis_auto_site12_large,exports_qgis_auto,site12_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_large.png,data\yolo_sites\images\all\exports_qgis_auto_site12_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_large.txt,0.064541
exports_qgis_auto_site12_patch,exports_qgis_auto,site12_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site12_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_patch.txt,0.378511
exports_qgis_auto_site12_tres_large,exports_qgis_auto,site12_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site12_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_tres_large.txt,0.018629
exports_qgis_auto_site13_large,exports_qgis_auto,site13_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site13_large.png,data\yolo_sites\images\all\exports_qgis_auto_site13_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site13_large.txt,0.181602
exports_qgis_auto_site13_patch,exports_qgis_auto,site13_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site13_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site13_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site13_patch.txt,0.295502
exports_qgis_auto_site14_large,exports_qgis_auto,site14_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_large.png,data\yolo_sites\images\all\exports_qgis_auto_site14_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_large.txt,0.168953
exports_qgis_auto_site14_patch,exports_qgis_auto,site14_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site14_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_patch.txt,0.416557
exports_qgis_auto_site14_tres_large,exports_qgis_auto,site14_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site14_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_tres_large.txt,0.659138
exports_qgis_auto_site15_large,exports_qgis_auto,site15_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_large.png,data\yolo_sites\images\all\exports_qgis_auto_site15_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_large.txt,0.055950
exports_qgis_auto_site15_patch,exports_qgis_auto,site15_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site15_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_patch.txt,0.220949
exports_qgis_auto_site15_tres_large,exports_qgis_auto,site15_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site15_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_tres_large.txt,0.018695
