split,site_id,output_id,source,image_id,patch_type,image_path,output_image,output_label,split_image,split_label,bbox_area_ratio
train,site04,exports_qgis_site04_tres_large,exports_qgis,site04_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site04_tres_large.png,data\yolo_sites\images\all\exports_qgis_site04_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site04_tres_large.txt,data\yolo_sites\images\train\exports_qgis_site04_tres_large.png,data\yolo_sites\labels\train\exports_qgis_site04_tres_large.txt,0.381787
train,site04,exports_qgis_auto_site04_patch,exports_qgis_auto,site04_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site04_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site04_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site04_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site04_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site04_patch.txt,0.503648
val,site05,exports_qgis_site05_large,exports_qgis,site05_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site05_large.png,data\yolo_sites\images\all\exports_qgis_site05_large.png,data\yolo_sites\labels\all\exports_qgis_site05_large.txt,data\yolo_sites\images\val\exports_qgis_site05_large.png,data\yolo_sites\labels\val\exports_qgis_site05_large.txt,0.605703
val,site05,exports_qgis_site05_tres_large,exports_qgis,site05_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site05_tres_large.png,data\yolo_sites\images\all\exports_qgis_site05_tres_large.png,data\yolo_sites\labels\all\exports_qgis_site05_tres_large.txt,data\yolo_sites\images\val\exports_qgis_site05_tres_large.png,data\yolo_sites\labels\val\exports_qgis_site05_tres_large.txt,0.152620
val,site05,exports_qgis_auto_site05_large,exports_qgis_auto,site05_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_large.png,data\yolo_sites\images\all\exports_qgis_auto_site05_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_large.txt,data\yolo_sites\images\val\exports_qgis_auto_site05_large.png,data\yolo_sites\labels\val\exports_qgis_auto_site05_large.txt,0.035663
val,site05,exports_qgis_auto_site05_patch,exports_qgis_auto,site05_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site05_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_patch.txt,data\yolo_sites\images\val\exports_qgis_auto_site05_patch.png,data\yolo_sites\labels\val\exports_qgis_auto_site05_patch.txt,0.590572
val,site05,exports_qgis_auto_site05_tres_large,exports_qgis_auto,site05_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site05_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site05_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site05_tres_large.txt,data\yolo_sites\images\val\exports_qgis_auto_site05_tres_large.png,data\yolo_sites\labels\val\exports_qgis_auto_site05_tres_large.txt,0.008108
train,site06,exports_qgis_site06_large,exports_qgis,site06_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site06_large.png,data\yolo_sites\images\all\exports_qgis_site06_large.png,data\yolo_sites\labels\all\exports_qgis_site06_large.txt,data\yolo_sites\images\train\exports_qgis_site06_large.png,data\yolo_sites\labels\train\exports_qgis_site06_large.txt,0.587726
train,site06,exports_qgis_auto_site06_large,exports_qgis_auto,site06_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site06_large.png,data\yolo_sites\images\all\exports_qgis_auto_site06_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site06_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site06_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site06_large.txt,0.482647
train,site06,exports_qgis_auto_site06_patch,exports_qgis_auto,site06_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site06_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site06_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site06_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site06_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site06_patch.txt,0.588464
train,site07,exports_qgis_site07_large,exports_qgis,site07_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site07_large.png,data\yolo_sites\images\all\exports_qgis_site07_large.png,data\yolo_sites\labels\all\exports_qgis_site07_large.txt,data\yolo_sites\images\train\exports_qgis_site07_large.png,data\yolo_sites\labels\train\exports_qgis_site07_large.txt,0.422942
train,site07,exports_qgis_site07_patch03,exports_qgis,site07_patch03,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site07_patch03.png,data\yolo_sites\images\all\exports_qgis_site07_patch03.png,data\yolo_sites\labels\all\exports_qgis_site07_patch03.txt,data\yolo_sites\images\train\exports_qgis_site07_patch03.png,data\yolo_sites\labels\train\exports_qgis_site07_patch03.txt,0.455766
train,site07,exports_qgis_auto_site07_large,exports_qgis_auto,site07_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site07_large.png,data\yolo_sites\images\all\exports_qgis_auto_site07_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site07_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site07_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site07_large.txt,0.008036
train,site07,exports_qgis_auto_site07_patch,exports_qgis_auto,site07_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site07_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site07_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site07_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site07_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site07_patch.txt,0.415287
train,site08,exports_qgis_site08_large,exports_qgis,site08_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site08_large.png,data\yolo_sites\images\all\exports_qgis_site08_large.png,data\yolo_sites\labels\all\exports_qgis_site08_large.txt,data\yolo_sites\images\train\exports_qgis_site08_large.png,data\yolo_sites\labels\train\exports_qgis_site08_large.txt,0.509858
train,site08,exports_qgis_auto_site08_large,exports_qgis_auto,site08_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_large.png,data\yolo_sites\images\all\exports_qgis_auto_site08_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site08_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site08_large.txt,0.106677
train,site08,exports_qgis_auto_site08_patch,exports_qgis_auto,site08_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site08_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site08_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site08_patch.txt,0.603630
train,site08,exports_qgis_auto_site08_tres_large,exports_qgis_auto,site08_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site08_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site08_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site08_tres_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site08_tres_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site08_tres_large.txt,0.030911
train,site09,exports_qgis_auto_site09_large,exports_qgis_auto,site09_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site09_large.png,data\yolo_sites\images\all\exports_qgis_auto_site09_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site09_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site09_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site09_large.txt,0.522020
train,site09,exports_qgis_auto_site09_patch,exports_qgis_auto,site09_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site09_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site09_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site09_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site09_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site09_patch.txt,0.563488
train,site10,exports_qgis_site10_large,exports_qgis,site10_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site10_large.png,data\yolo_sites\images\all\exports_qgis_site10_large.png,data\yolo_sites\labels\all\exports_qgis_site10_large.txt,data\yolo_sites\images\train\exports_qgis_site10_large.png,data\yolo_sites\labels\train\exports_qgis_site10_large.txt,0.512299
train,site10,exports_qgis_site10_patch04,exports_qgis,site10_patch04,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site10_patch04.png,data\yolo_sites\images\all\exports_qgis_site10_patch04.png,data\yolo_sites\labels\all\exports_qgis_site10_patch04.txt,data\yolo_sites\images\train\exports_qgis_site10_patch04.png,data\yolo_sites\labels\train\exports_qgis_site10_patch04.txt,0.323113
train,site10,exports_qgis_auto_site10_large,exports_qgis_auto,site10_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_large.png,data\yolo_sites\images\all\exports_qgis_auto_site10_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site10_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site10_large.txt,0.011011
train,site10,exports_qgis_auto_site10_patch,exports_qgis_auto,site10_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site10_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site10_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site10_patch.txt,0.482178
train,site10,exports_qgis_auto_site10_tres_large,exports_qgis_auto,site10_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site10_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site10_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site10_tres_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site10_tres_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site10_tres_large.txt,0.138317
test,site11,exports_qgis_site11_large,exports_qgis,site11_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site11_large.png,data\yolo_sites\images\all\exports_qgis_site11_large.png,data\yolo_sites\labels\all\exports_qgis_site11_large.txt,data\yolo_sites\images\test\exports_qgis_site11_large.png,data\yolo_sites\labels\test\exports_qgis_site11_large.txt,0.645249
test,site11,exports_qgis_auto_site11_large,exports_qgis_auto,site11_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_large.png,data\yolo_sites\images\all\exports_qgis_auto_site11_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_large.txt,data\yolo_sites\images\test\exports_qgis_auto_site11_large.png,data\yolo_sites\labels\test\exports_qgis_auto_site11_large.txt,0.130317
test,site11,exports_qgis_auto_site11_patch,exports_qgis_auto,site11_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site11_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_patch.txt,data\yolo_sites\images\test\exports_qgis_auto_site11_patch.png,data\yolo_sites\labels\test\exports_qgis_auto_site11_patch.txt,0.646584
test,site11,exports_qgis_auto_site11_tres_large,exports_qgis_auto,site11_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site11_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site11_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site11_tres_large.txt,data\yolo_sites\images\test\exports_qgis_auto_site11_tres_large.png,data\yolo_sites\labels\test\exports_qgis_auto_site11_tres_large.txt,0.646996
val,site12,exports_qgis_site12_large,exports_qgis,site12_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site12_large.png,data\yolo_sites\images\all\exports_qgis_site12_large.png,data\yolo_sites\labels\all\exports_qgis_site12_large.txt,data\yolo_sites\images\val\exports_qgis_site12_large.png,data\yolo_sites\labels\val\exports_qgis_site12_large.txt,0.379718
val,site12,exports_qgis_site12_patch05,exports_qgis,site12_patch05,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site12_patch05.png,data\yolo_sites\images\all\exports_qgis_site12_patch05.png,data\yolo_sites\labels\all\exports_qgis_site12_patch05.txt,data\yolo_sites\images\val\exports_qgis_site12_patch05.png,data\yolo_sites\labels\val\exports_qgis_site12_patch05.txt,0.389920
val,site12,exports_qgis_auto_site12_large,exports_qgis_auto,site12_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_large.png,data\yolo_sites\images\all\exports_qgis_auto_site12_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_large.txt,data\yolo_sites\images\val\exports_qgis_auto_site12_large.png,data\yolo_sites\labels\val\exports_qgis_auto_site12_large.txt,0.064541
val,site12,exports_qgis_auto_site12_patch,exports_qgis_auto,site12_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site12_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_patch.txt,data\yolo_sites\images\val\exports_qgis_auto_site12_patch.png,data\yolo_sites\labels\val\exports_qgis_auto_site12_patch.txt,0.378511
val,site12,exports_qgis_auto_site12_tres_large,exports_qgis_auto,site12_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site12_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site12_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site12_tres_large.txt,data\yolo_sites\images\val\exports_qgis_auto_site12_tres_large.png,data\yolo_sites\labels\val\exports_qgis_auto_site12_tres_large.txt,0.018629
train,site13,exports_qgis_site13_large,exports_qgis,site13_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site13_large.png,data\yolo_sites\images\all\exports_qgis_site13_large.png,data\yolo_sites\labels\all\exports_qgis_site13_large.txt,data\yolo_sites\images\train\exports_qgis_site13_large.png,data\yolo_sites\labels\train\exports_qgis_site13_large.txt,0.333942
train,site13,exports_qgis_auto_site13_large,exports_qgis_auto,site13_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site13_large.png,data\yolo_sites\images\all\exports_qgis_auto_site13_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site13_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site13_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site13_large.txt,0.181602
train,site13,exports_qgis_auto_site13_patch,exports_qgis_auto,site13_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site13_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site13_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site13_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site13_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site13_patch.txt,0.295502
train,site14,exports_qgis_site14_large,exports_qgis,site14_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site14_large.png,data\yolo_sites\images\all\exports_qgis_site14_large.png,data\yolo_sites\labels\all\exports_qgis_site14_large.txt,data\yolo_sites\images\train\exports_qgis_site14_large.png,data\yolo_sites\labels\train\exports_qgis_site14_large.txt,0.429765
train,site14,exports_qgis_auto_site14_large,exports_qgis_auto,site14_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_large.png,data\yolo_sites\images\all\exports_qgis_auto_site14_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site14_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site14_large.txt,0.168953
train,site14,exports_qgis_auto_site14_patch,exports_qgis_auto,site14_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site14_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site14_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site14_patch.txt,0.416557
train,site14,exports_qgis_auto_site14_tres_large,exports_qgis_auto,site14_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site14_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site14_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site14_tres_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site14_tres_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site14_tres_large.txt,0.659138
train,site15,exports_qgis_site15_patch01,exports_qgis,site15_patch01,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis\rgb\site15_patch01.png,data\yolo_sites\images\all\exports_qgis_site15_patch01.png,data\yolo_sites\labels\all\exports_qgis_site15_patch01.txt,data\yolo_sites\images\train\exports_qgis_site15_patch01.png,data\yolo_sites\labels\train\exports_qgis_site15_patch01.txt,0.192025
train,site15,exports_qgis_auto_site15_large,exports_qgis_auto,site15_large,large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_large.png,data\yolo_sites\images\all\exports_qgis_auto_site15_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site15_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site15_large.txt,0.055950
train,site15,exports_qgis_auto_site15_patch,exports_qgis_auto,site15_patch,patch,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_patch.png,data\yolo_sites\images\all\exports_qgis_auto_site15_patch.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_patch.txt,data\yolo_sites\images\train\exports_qgis_auto_site15_patch.png,data\yolo_sites\labels\train\exports_qgis_auto_site15_patch.txt,0.220949
train,site15,exports_qgis_auto_site15_tres_large,exports_qgis_auto,site15_tres_large,tres_large,C:\Users\Mathieu\Documents\New project\Stage_2A\data\exports_qgis_auto\rgb\site15_tres_large.png,data\yolo_sites\images\all\exports_qgis_auto_site15_tres_large.png,data\yolo_sites\labels\all\exports_qgis_auto_site15_tres_large.txt,data\yolo_sites\images\train\exports_qgis_auto_site15_tres_large.png,data\yolo_sites\labels\train\exports_qgis_auto_site15_tres_large.txt,0.018695
