sample_uid,dataset_source,patch_id,site_id,patch_type,label,rgb_path,lidar_path,rgb_width,rgb_height,lidar_width,lidar_height,has_rgb_world_file,has_lidar_world_file,status
exports_qgis:site02_large,exports_qgis,site02_large,site02,large,archeologique,data\exports_qgis\rgb\site02_large.png,data\exports_qgis\lidar\site02_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg01,exports_qgis,site02_neg01,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg01.png,data\exports_qgis\lidar\site02_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg02,exports_qgis,site02_neg02,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg02.png,data\exports_qgis\lidar\site02_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg03,exports_qgis,site02_neg03,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg03.png,data\exports_qgis\lidar\site02_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg04,exports_qgis,site02_neg04,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg04.png,data\exports_qgis\lidar\site02_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg05,exports_qgis,site02_neg05,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg05.png,data\exports_qgis\lidar\site02_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg06,exports_qgis,site02_neg06,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg06.png,data\exports_qgis\lidar\site02_neg06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_neg07,exports_qgis,site02_neg07,site02,neg,non_archeologique,data\exports_qgis\rgb\site02_neg07.png,data\exports_qgis\lidar\site02_neg07_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_patch01,exports_qgis,site02_patch01,site02,patch,archeologique,data\exports_qgis\rgb\site02_patch01.png,data\exports_qgis\lidar\site02_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_patch02,exports_qgis,site02_patch02,site02,patch,archeologique,data\exports_qgis\rgb\site02_patch02.png,data\exports_qgis\lidar\site02_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_patch03,exports_qgis,site02_patch03,site02,patch,archeologique,data\exports_qgis\rgb\site02_patch03.png,data\exports_qgis\lidar\site02_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_patch04,exports_qgis,site02_patch04,site02,patch,archeologique,data\exports_qgis\rgb\site02_patch04.png,data\exports_qgis\lidar\site02_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site02_tres_large,exports_qgis,site02_tres_large,site02,tres_large,archeologique,data\exports_qgis\rgb\site02_tres_large.png,data\exports_qgis\lidar\site02_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_large,exports_qgis,site03_large,site03,large,archeologique,data\exports_qgis\rgb\site03_large.png,data\exports_qgis\lidar\site03_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg01,exports_qgis,site03_neg01,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg01.png,data\exports_qgis\lidar\site03_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg02,exports_qgis,site03_neg02,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg02.png,data\exports_qgis\lidar\site03_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg03,exports_qgis,site03_neg03,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg03.png,data\exports_qgis\lidar\site03_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg04,exports_qgis,site03_neg04,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg04.png,data\exports_qgis\lidar\site03_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg05,exports_qgis,site03_neg05,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg05.png,data\exports_qgis\lidar\site03_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_neg06,exports_qgis,site03_neg06,site03,neg,non_archeologique,data\exports_qgis\rgb\site03_neg06.png,data\exports_qgis\lidar\site03_neg06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_patch01,exports_qgis,site03_patch01,site03,patch,archeologique,data\exports_qgis\rgb\site03_patch01.png,data\exports_qgis\lidar\site03_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_patch03,exports_qgis,site03_patch03,site03,patch,archeologique,data\exports_qgis\rgb\site03_patch03.png,data\exports_qgis\lidar\site03_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_patch04,exports_qgis,site03_patch04,site03,patch,archeologique,data\exports_qgis\rgb\site03_patch04.png,data\exports_qgis\lidar\site03_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site03_tres_large,exports_qgis,site03_tres_large,site03,tres_large,archeologique,data\exports_qgis\rgb\site03_tres_large.png,data\exports_qgis\lidar\site03_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_large,exports_qgis,site04_large,site04,large,archeologique,data\exports_qgis\rgb\site04_large.png,data\exports_qgis\lidar\site04_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg01,exports_qgis,site04_neg01,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg01.png,data\exports_qgis\lidar\site04_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg02,exports_qgis,site04_neg02,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg02.png,data\exports_qgis\lidar\site04_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg03,exports_qgis,site04_neg03,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg03.png,data\exports_qgis\lidar\site04_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg04,exports_qgis,site04_neg04,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg04.png,data\exports_qgis\lidar\site04_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg05,exports_qgis,site04_neg05,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg05.png,data\exports_qgis\lidar\site04_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_neg06,exports_qgis,site04_neg06,site04,neg,non_archeologique,data\exports_qgis\rgb\site04_neg06.png,data\exports_qgis\lidar\site04_neg06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch01,exports_qgis,site04_patch01,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch01.png,data\exports_qgis\lidar\site04_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch02,exports_qgis,site04_patch02,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch02.png,data\exports_qgis\lidar\site04_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch03,exports_qgis,site04_patch03,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch03.png,data\exports_qgis\lidar\site04_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch04,exports_qgis,site04_patch04,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch04.png,data\exports_qgis\lidar\site04_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch05,exports_qgis,site04_patch05,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch05.png,data\exports_qgis\lidar\site04_patch05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_patch06,exports_qgis,site04_patch06,site04,patch,archeologique,data\exports_qgis\rgb\site04_patch06.png,data\exports_qgis\lidar\site04_patch06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site04_tres_large,exports_qgis,site04_tres_large,site04,tres_large,archeologique,data\exports_qgis\rgb\site04_tres_large.png,data\exports_qgis\lidar\site04_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_large,exports_qgis,site05_large,site05,large,archeologique,data\exports_qgis\rgb\site05_large.png,data\exports_qgis\lidar\site05_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_neg01,exports_qgis,site05_neg01,site05,neg,non_archeologique,data\exports_qgis\rgb\site05_neg01.png,data\exports_qgis\lidar\site05_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_neg02,exports_qgis,site05_neg02,site05,neg,non_archeologique,data\exports_qgis\rgb\site05_neg02.png,data\exports_qgis\lidar\site05_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_neg03,exports_qgis,site05_neg03,site05,neg,non_archeologique,data\exports_qgis\rgb\site05_neg03.png,data\exports_qgis\lidar\site05_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_neg04,exports_qgis,site05_neg04,site05,neg,non_archeologique,data\exports_qgis\rgb\site05_neg04.png,data\exports_qgis\lidar\site05_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_neg05,exports_qgis,site05_neg05,site05,neg,non_archeologique,data\exports_qgis\rgb\site05_neg05.png,data\exports_qgis\lidar\site05_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch01,exports_qgis,site05_patch01,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch01.png,data\exports_qgis\lidar\site05_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch02,exports_qgis,site05_patch02,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch02.png,data\exports_qgis\lidar\site05_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch03,exports_qgis,site05_patch03,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch03.png,data\exports_qgis\lidar\site05_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch04,exports_qgis,site05_patch04,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch04.png,data\exports_qgis\lidar\site05_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch05,exports_qgis,site05_patch05,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch05.png,data\exports_qgis\lidar\site05_patch05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_patch06,exports_qgis,site05_patch06,site05,patch,archeologique,data\exports_qgis\rgb\site05_patch06.png,data\exports_qgis\lidar\site05_patch06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site05_tres_large,exports_qgis,site05_tres_large,site05,tres_large,archeologique,data\exports_qgis\rgb\site05_tres_large.png,data\exports_qgis\lidar\site05_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_large,exports_qgis,site06_large,site06,large,archeologique,data\exports_qgis\rgb\site06_large.png,data\exports_qgis\lidar\site06_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg01,exports_qgis,site06_neg01,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg01.png,data\exports_qgis\lidar\site06_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg02,exports_qgis,site06_neg02,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg02.png,data\exports_qgis\lidar\site06_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg03,exports_qgis,site06_neg03,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg03.png,data\exports_qgis\lidar\site06_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg04,exports_qgis,site06_neg04,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg04.png,data\exports_qgis\lidar\site06_neg04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg05,exports_qgis,site06_neg05,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg05.png,data\exports_qgis\lidar\site06_neg05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_neg06,exports_qgis,site06_neg06,site06,neg,non_archeologique,data\exports_qgis\rgb\site06_neg06.png,data\exports_qgis\lidar\site06_neg06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_patch01,exports_qgis,site06_patch01,site06,patch,archeologique,data\exports_qgis\rgb\site06_patch01.png,data\exports_qgis\lidar\site06_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_patch02,exports_qgis,site06_patch02,site06,patch,archeologique,data\exports_qgis\rgb\site06_patch02.png,data\exports_qgis\lidar\site06_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_patch03,exports_qgis,site06_patch03,site06,patch,archeologique,data\exports_qgis\rgb\site06_patch03.png,data\exports_qgis\lidar\site06_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site06_tres_large,exports_qgis,site06_tres_large,site06,tres_large,archeologique,data\exports_qgis\rgb\site06_tres_large.png,data\exports_qgis\lidar\site06_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site07_large,exports_qgis,site07_large,site07,large,archeologique,data\exports_qgis\rgb\site07_large.png,data\exports_qgis\lidar\site07_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site07_neg01,exports_qgis,site07_neg01,site07,neg,non_archeologique,data\exports_qgis\rgb\site07_neg01.png,data\exports_qgis\lidar\site07_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site07_neg02,exports_qgis,site07_neg02,site07,neg,non_archeologique,data\exports_qgis\rgb\site07_neg02.png,data\exports_qgis\lidar\site07_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site07_patch01,exports_qgis,site07_patch01,site07,patch,archeologique,data\exports_qgis\rgb\site07_patch01.png,data\exports_qgis\lidar\site07_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site07_patch02,exports_qgis,site07_patch02,site07,patch,archeologique,data\exports_qgis\rgb\site07_patch02.png,data\exports_qgis\lidar\site07_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_large,exports_qgis,site08_large,site08,large,archeologique,data\exports_qgis\rgb\site08_large.png,data\exports_qgis\lidar\site08_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_neg01,exports_qgis,site08_neg01,site08,neg,non_archeologique,data\exports_qgis\rgb\site08_neg01.png,data\exports_qgis\lidar\site08_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_neg02,exports_qgis,site08_neg02,site08,neg,non_archeologique,data\exports_qgis\rgb\site08_neg02.png,data\exports_qgis\lidar\site08_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_neg03,exports_qgis,site08_neg03,site08,neg,non_archeologique,data\exports_qgis\rgb\site08_neg03.png,data\exports_qgis\lidar\site08_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_patch01,exports_qgis,site08_patch01,site08,patch,archeologique,data\exports_qgis\rgb\site08_patch01.png,data\exports_qgis\lidar\site08_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site08_patch02,exports_qgis,site08_patch02,site08,patch,archeologique,data\exports_qgis\rgb\site08_patch02.png,data\exports_qgis\lidar\site08_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site09_patch01,exports_qgis,site09_patch01,site09,patch,archeologique,data\exports_qgis\rgb\site09_patch01.png,data\exports_qgis\lidar\site09_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site09_patch02,exports_qgis,site09_patch02,site09,patch,archeologique,data\exports_qgis\rgb\site09_patch02.png,data\exports_qgis\lidar\site09_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site09_patch03,exports_qgis,site09_patch03,site09,patch,archeologique,data\exports_qgis\rgb\site09_patch03.png,data\exports_qgis\lidar\site09_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site09_patch04,exports_qgis,site09_patch04,site09,patch,archeologique,data\exports_qgis\rgb\site09_patch04.png,data\exports_qgis\lidar\site09_patch04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site10_large,exports_qgis,site10_large,site10,large,archeologique,data\exports_qgis\rgb\site10_large.png,data\exports_qgis\lidar\site10_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site10_neg01,exports_qgis,site10_neg01,site10,neg,non_archeologique,data\exports_qgis\rgb\site10_neg01.png,data\exports_qgis\lidar\site10_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site10_neg02,exports_qgis,site10_neg02,site10,neg,non_archeologique,data\exports_qgis\rgb\site10_neg02.png,data\exports_qgis\lidar\site10_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site10_patch01,exports_qgis,site10_patch01,site10,patch,archeologique,data\exports_qgis\rgb\site10_patch01.png,data\exports_qgis\lidar\site10_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site10_patch02,exports_qgis,site10_patch02,site10,patch,archeologique,data\exports_qgis\rgb\site10_patch02.png,data\exports_qgis\lidar\site10_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site11_large,exports_qgis,site11_large,site11,large,archeologique,data\exports_qgis\rgb\site11_large.png,data\exports_qgis\lidar\site11_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site11_patch01,exports_qgis,site11_patch01,site11,patch,archeologique,data\exports_qgis\rgb\site11_patch01.png,data\exports_qgis\lidar\site11_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site11_patch02,exports_qgis,site11_patch02,site11,patch,archeologique,data\exports_qgis\rgb\site11_patch02.png,data\exports_qgis\lidar\site11_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site12_large,exports_qgis,site12_large,site12,large,archeologique,data\exports_qgis\rgb\site12_large.png,data\exports_qgis\lidar\site12_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site12_neg01,exports_qgis,site12_neg01,site12,neg,non_archeologique,data\exports_qgis\rgb\site12_neg01.png,data\exports_qgis\lidar\site12_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site12_neg02,exports_qgis,site12_neg02,site12,neg,non_archeologique,data\exports_qgis\rgb\site12_neg02.png,data\exports_qgis\lidar\site12_neg02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site12_patch01,exports_qgis,site12_patch01,site12,patch,archeologique,data\exports_qgis\rgb\site12_patch01.png,data\exports_qgis\lidar\site12_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site12_patch02,exports_qgis,site12_patch02,site12,patch,archeologique,data\exports_qgis\rgb\site12_patch02.png,data\exports_qgis\lidar\site12_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site13_large,exports_qgis,site13_large,site13,large,archeologique,data\exports_qgis\rgb\site13_large.png,data\exports_qgis\lidar\site13_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site13_neg01,exports_qgis,site13_neg01,site13,neg,non_archeologique,data\exports_qgis\rgb\site13_neg01.png,data\exports_qgis\lidar\site13_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site13_patch01,exports_qgis,site13_patch01,site13,patch,archeologique,data\exports_qgis\rgb\site13_patch01.png,data\exports_qgis\lidar\site13_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site13_patch02,exports_qgis,site13_patch02,site13,patch,archeologique,data\exports_qgis\rgb\site13_patch02.png,data\exports_qgis\lidar\site13_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site14_large,exports_qgis,site14_large,site14,large,archeologique,data\exports_qgis\rgb\site14_large.png,data\exports_qgis\lidar\site14_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site14_neg01,exports_qgis,site14_neg01,site14,neg,non_archeologique,data\exports_qgis\rgb\site14_neg01.png,data\exports_qgis\lidar\site14_neg01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site14_patch01,exports_qgis,site14_patch01,site14,patch,archeologique,data\exports_qgis\rgb\site14_patch01.png,data\exports_qgis\lidar\site14_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site14_patch02,exports_qgis,site14_patch02,site14,patch,archeologique,data\exports_qgis\rgb\site14_patch02.png,data\exports_qgis\lidar\site14_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site14_patch03,exports_qgis,site14_patch03,site14,patch,archeologique,data\exports_qgis\rgb\site14_patch03.png,data\exports_qgis\lidar\site14_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site15_neg01,exports_qgis,site15_neg01,site15,neg,non_archeologique,data\exports_qgis\rgb\site15_neg01.png,data\exports_qgis\lidar\site15_neg01_lidar.png,2641,2480,2690,2480,True,True,size_mismatch
exports_qgis:site15_neg02,exports_qgis,site15_neg02,site15,neg,non_archeologique,data\exports_qgis\rgb\site15_neg02.png,data\exports_qgis\lidar\site15_neg02_lidar.png,2988,2480,2882,2480,True,True,size_mismatch
exports_qgis:site15_neg03,exports_qgis,site15_neg03,site15,neg,non_archeologique,data\exports_qgis\rgb\site15_neg03.png,data\exports_qgis\lidar\site15_neg03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site15_patch01,exports_qgis,site15_patch01,site15,patch,archeologique,data\exports_qgis\rgb\site15_patch01.png,data\exports_qgis\lidar\site15_patch01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site15_patch02,exports_qgis,site15_patch02,site15,patch,archeologique,data\exports_qgis\rgb\site15_patch02.png,data\exports_qgis\lidar\site15_patch02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis:site15_patch03,exports_qgis,site15_patch03,site15,patch,archeologique,data\exports_qgis\rgb\site15_patch03.png,data\exports_qgis\lidar\site15_patch03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_large,exports_qgis_auto,site01_large,site01,large,archeologique,data\exports_qgis_auto\rgb\site01_large.png,data\exports_qgis_auto\lidar\site01_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto01,exports_qgis_auto,site01_neg_auto01,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto01.png,data\exports_qgis_auto\lidar\site01_neg_auto01_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto02,exports_qgis_auto,site01_neg_auto02,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto02.png,data\exports_qgis_auto\lidar\site01_neg_auto02_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto03,exports_qgis_auto,site01_neg_auto03,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto03.png,data\exports_qgis_auto\lidar\site01_neg_auto03_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto04,exports_qgis_auto,site01_neg_auto04,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto04.png,data\exports_qgis_auto\lidar\site01_neg_auto04_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto05,exports_qgis_auto,site01_neg_auto05,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto05.png,data\exports_qgis_auto\lidar\site01_neg_auto05_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_neg_auto06,exports_qgis_auto,site01_neg_auto06,site01,neg,non_archeologique,data\exports_qgis_auto\rgb\site01_neg_auto06.png,data\exports_qgis_auto\lidar\site01_neg_auto06_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_patch,exports_qgis_auto,site01_patch,site01,patch,archeologique,data\exports_qgis_auto\rgb\site01_patch.png,data\exports_qgis_auto\lidar\site01_patch_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site01_tres_large,exports_qgis_auto,site01_tres_large,site01,tres_large,archeologique,data\exports_qgis_auto\rgb\site01_tres_large.png,data\exports_qgis_auto\lidar\site01_tres_large_lidar.png,3507,2480,3507,2480,True,True,ok
exports_qgis_auto:site02_large,exports_qgis_auto,site02_large,site02,large,archeologique,data\exports_qgis_auto\rgb\site02_large.png,data\exports_qgis_auto\lidar\site02_large_lidar.png,3507,2480,3507,2480,True,True,ok
