sample_uid,dataset_source,patch_id,site_id,patch_type,true_label,predicted_label,probability_archeologique,confidence,error_type,rgb_path,lidar_path
exports_qgis:site05_neg04,exports_qgis,site05_neg04,site05,neg,non_archeologique,non_archeologique,0.070999,0.929001,correct,data\exports_qgis\rgb\site05_neg04.png,data\exports_qgis\lidar\site05_neg04_lidar.png
exports_qgis:site05_neg05,exports_qgis,site05_neg05,site05,neg,non_archeologique,non_archeologique,0.021480,0.978520,correct,data\exports_qgis\rgb\site05_neg05.png,data\exports_qgis\lidar\site05_neg05_lidar.png
exports_qgis:site05_patch01,exports_qgis,site05_patch01,site05,patch,archeologique,archeologique,0.486103,0.513897,correct,data\exports_qgis\rgb\site05_patch01.png,data\exports_qgis\lidar\site05_patch01_lidar.png
exports_qgis:site05_patch02,exports_qgis,site05_patch02,site05,patch,archeologique,archeologique,0.709042,0.709042,correct,data\exports_qgis\rgb\site05_patch02.png,data\exports_qgis\lidar\site05_patch02_lidar.png
exports_qgis:site05_patch03,exports_qgis,site05_patch03,site05,patch,archeologique,archeologique,0.683755,0.683755,correct,data\exports_qgis\rgb\site05_patch03.png,data\exports_qgis\lidar\site05_patch03_lidar.png
exports_qgis:site05_patch04,exports_qgis,site05_patch04,site05,patch,archeologique,archeologique,0.532255,0.532255,correct,data\exports_qgis\rgb\site05_patch04.png,data\exports_qgis\lidar\site05_patch04_lidar.png
exports_qgis:site05_patch05,exports_qgis,site05_patch05,site05,patch,archeologique,archeologique,0.457143,0.542857,correct,data\exports_qgis\rgb\site05_patch05.png,data\exports_qgis\lidar\site05_patch05_lidar.png
exports_qgis:site05_patch06,exports_qgis,site05_patch06,site05,patch,archeologique,archeologique,0.525086,0.525086,correct,data\exports_qgis\rgb\site05_patch06.png,data\exports_qgis\lidar\site05_patch06_lidar.png
exports_qgis:site06_large,exports_qgis,site06_large,site06,large,archeologique,non_archeologique,0.178704,0.821296,false_negative,data\exports_qgis\rgb\site06_large.png,data\exports_qgis\lidar\site06_large_lidar.png
exports_qgis:site06_neg01,exports_qgis,site06_neg01,site06,neg,non_archeologique,non_archeologique,0.039040,0.960960,correct,data\exports_qgis\rgb\site06_neg01.png,data\exports_qgis\lidar\site06_neg01_lidar.png
exports_qgis:site06_neg02,exports_qgis,site06_neg02,site06,neg,non_archeologique,non_archeologique,0.219006,0.780994,correct,data\exports_qgis\rgb\site06_neg02.png,data\exports_qgis\lidar\site06_neg02_lidar.png
exports_qgis:site06_neg03,exports_qgis,site06_neg03,site06,neg,non_archeologique,non_archeologique,0.084748,0.915252,correct,data\exports_qgis\rgb\site06_neg03.png,data\exports_qgis\lidar\site06_neg03_lidar.png
exports_qgis:site06_neg04,exports_qgis,site06_neg04,site06,neg,non_archeologique,non_archeologique,0.019030,0.980970,correct,data\exports_qgis\rgb\site06_neg04.png,data\exports_qgis\lidar\site06_neg04_lidar.png
exports_qgis:site06_neg05,exports_qgis,site06_neg05,site06,neg,non_archeologique,non_archeologique,0.115884,0.884116,correct,data\exports_qgis\rgb\site06_neg05.png,data\exports_qgis\lidar\site06_neg05_lidar.png
exports_qgis:site06_neg06,exports_qgis,site06_neg06,site06,neg,non_archeologique,non_archeologique,0.043757,0.956243,correct,data\exports_qgis\rgb\site06_neg06.png,data\exports_qgis\lidar\site06_neg06_lidar.png
exports_qgis:site06_patch01,exports_qgis,site06_patch01,site06,patch,archeologique,archeologique,0.541901,0.541901,correct,data\exports_qgis\rgb\site06_patch01.png,data\exports_qgis\lidar\site06_patch01_lidar.png
exports_qgis:site06_patch02,exports_qgis,site06_patch02,site06,patch,archeologique,non_archeologique,0.214114,0.785886,false_negative,data\exports_qgis\rgb\site06_patch02.png,data\exports_qgis\lidar\site06_patch02_lidar.png
exports_qgis:site06_patch03,exports_qgis,site06_patch03,site06,patch,archeologique,non_archeologique,0.327969,0.672031,false_negative,data\exports_qgis\rgb\site06_patch03.png,data\exports_qgis\lidar\site06_patch03_lidar.png
exports_qgis:site07_large,exports_qgis,site07_large,site07,large,archeologique,archeologique,0.937603,0.937603,correct,data\exports_qgis\rgb\site07_large.png,data\exports_qgis\lidar\site07_large_lidar.png
exports_qgis:site07_neg01,exports_qgis,site07_neg01,site07,neg,non_archeologique,non_archeologique,0.410807,0.589193,correct,data\exports_qgis\rgb\site07_neg01.png,data\exports_qgis\lidar\site07_neg01_lidar.png
exports_qgis:site07_neg02,exports_qgis,site07_neg02,site07,neg,non_archeologique,archeologique,0.466776,0.533224,false_positive,data\exports_qgis\rgb\site07_neg02.png,data\exports_qgis\lidar\site07_neg02_lidar.png
exports_qgis:site07_neg03,exports_qgis,site07_neg03,site07,neg,non_archeologique,non_archeologique,0.374395,0.625605,correct,data\exports_qgis\rgb\site07_neg03.png,data\exports_qgis\lidar\site07_neg03_lidar.png
exports_qgis:site07_neg04,exports_qgis,site07_neg04,site07,neg,non_archeologique,non_archeologique,0.205315,0.794685,correct,data\exports_qgis\rgb\site07_neg04.png,data\exports_qgis\lidar\site07_neg04_lidar.png
exports_qgis:site07_neg05,exports_qgis,site07_neg05,site07,neg,non_archeologique,non_archeologique,0.348438,0.651562,correct,data\exports_qgis\rgb\site07_neg05.png,data\exports_qgis\lidar\site07_neg05_lidar.png
exports_qgis:site07_patch01,exports_qgis,site07_patch01,site07,patch,archeologique,archeologique,0.850171,0.850171,correct,data\exports_qgis\rgb\site07_patch01.png,data\exports_qgis\lidar\site07_patch01_lidar.png
exports_qgis:site07_patch02,exports_qgis,site07_patch02,site07,patch,archeologique,non_archeologique,0.309944,0.690056,false_negative,data\exports_qgis\rgb\site07_patch02.png,data\exports_qgis\lidar\site07_patch02_lidar.png
exports_qgis:site07_patch03,exports_qgis,site07_patch03,site07,patch,archeologique,archeologique,0.877334,0.877334,correct,data\exports_qgis\rgb\site07_patch03.png,data\exports_qgis\lidar\site07_patch03_lidar.png
exports_qgis:site07_patch04,exports_qgis,site07_patch04,site07,patch,archeologique,archeologique,0.816340,0.816340,correct,data\exports_qgis\rgb\site07_patch04.png,data\exports_qgis\lidar\site07_patch04_lidar.png
exports_qgis:site08_large,exports_qgis,site08_large,site08,large,archeologique,non_archeologique,0.415197,0.584803,false_negative,data\exports_qgis\rgb\site08_large.png,data\exports_qgis\lidar\site08_large_lidar.png
exports_qgis:site08_neg01,exports_qgis,site08_neg01,site08,neg,non_archeologique,non_archeologique,0.177916,0.822084,correct,data\exports_qgis\rgb\site08_neg01.png,data\exports_qgis\lidar\site08_neg01_lidar.png
exports_qgis:site08_neg02,exports_qgis,site08_neg02,site08,neg,non_archeologique,non_archeologique,0.162766,0.837234,correct,data\exports_qgis\rgb\site08_neg02.png,data\exports_qgis\lidar\site08_neg02_lidar.png
exports_qgis:site08_neg03,exports_qgis,site08_neg03,site08,neg,non_archeologique,non_archeologique,0.053023,0.946977,correct,data\exports_qgis\rgb\site08_neg03.png,data\exports_qgis\lidar\site08_neg03_lidar.png
exports_qgis:site08_neg04,exports_qgis,site08_neg04,site08,neg,non_archeologique,non_archeologique,0.129820,0.870180,correct,data\exports_qgis\rgb\site08_neg04.png,data\exports_qgis\lidar\site08_neg04_lidar.png
exports_qgis:site08_neg05,exports_qgis,site08_neg05,site08,neg,non_archeologique,non_archeologique,0.437908,0.562092,correct,data\exports_qgis\rgb\site08_neg05.png,data\exports_qgis\lidar\site08_neg05_lidar.png
exports_qgis:site08_patch01,exports_qgis,site08_patch01,site08,patch,archeologique,non_archeologique,0.284462,0.715538,false_negative,data\exports_qgis\rgb\site08_patch01.png,data\exports_qgis\lidar\site08_patch01_lidar.png
exports_qgis:site08_patch02,exports_qgis,site08_patch02,site08,patch,archeologique,archeologique,0.586436,0.586436,correct,data\exports_qgis\rgb\site08_patch02.png,data\exports_qgis\lidar\site08_patch02_lidar.png
exports_qgis:site08_patch03,exports_qgis,site08_patch03,site08,patch,archeologique,non_archeologique,0.383131,0.616869,false_negative,data\exports_qgis\rgb\site08_patch03.png,data\exports_qgis\lidar\site08_patch03_lidar.png
exports_qgis:site08_patch04,exports_qgis,site08_patch04,site08,patch,archeologique,non_archeologique,0.228744,0.771256,false_negative,data\exports_qgis\rgb\site08_patch04.png,data\exports_qgis\lidar\site08_patch04_lidar.png
exports_qgis:site09_neg01,exports_qgis,site09_neg01,site09,neg,non_archeologique,non_archeologique,0.213391,0.786609,correct,data\exports_qgis\rgb\site09_neg01.png,data\exports_qgis\lidar\site09_neg01_lidar.png
exports_qgis:site09_neg02,exports_qgis,site09_neg02,site09,neg,non_archeologique,non_archeologique,0.334474,0.665526,correct,data\exports_qgis\rgb\site09_neg02.png,data\exports_qgis\lidar\site09_neg02_lidar.png
exports_qgis:site09_neg03,exports_qgis,site09_neg03,site09,neg,non_archeologique,non_archeologique,0.306241,0.693759,correct,data\exports_qgis\rgb\site09_neg03.png,data\exports_qgis\lidar\site09_neg03_lidar.png
exports_qgis:site09_neg04,exports_qgis,site09_neg04,site09,neg,non_archeologique,non_archeologique,0.202945,0.797055,correct,data\exports_qgis\rgb\site09_neg04.png,data\exports_qgis\lidar\site09_neg04_lidar.png
exports_qgis:site09_neg05,exports_qgis,site09_neg05,site09,neg,non_archeologique,non_archeologique,0.145650,0.854350,correct,data\exports_qgis\rgb\site09_neg05.png,data\exports_qgis\lidar\site09_neg05_lidar.png
exports_qgis:site09_neg06,exports_qgis,site09_neg06,site09,neg,non_archeologique,non_archeologique,0.418789,0.581211,correct,data\exports_qgis\rgb\site09_neg06.png,data\exports_qgis\lidar\site09_neg06_lidar.png
exports_qgis:site09_patch01,exports_qgis,site09_patch01,site09,patch,archeologique,archeologique,0.480852,0.519148,correct,data\exports_qgis\rgb\site09_patch01.png,data\exports_qgis\lidar\site09_patch01_lidar.png
exports_qgis:site09_patch02,exports_qgis,site09_patch02,site09,patch,archeologique,non_archeologique,0.015864,0.984136,false_negative,data\exports_qgis\rgb\site09_patch02.png,data\exports_qgis\lidar\site09_patch02_lidar.png
exports_qgis:site09_patch03,exports_qgis,site09_patch03,site09,patch,archeologique,non_archeologique,0.176403,0.823597,false_negative,data\exports_qgis\rgb\site09_patch03.png,data\exports_qgis\lidar\site09_patch03_lidar.png
exports_qgis:site09_patch04,exports_qgis,site09_patch04,site09,patch,archeologique,non_archeologique,0.146777,0.853223,false_negative,data\exports_qgis\rgb\site09_patch04.png,data\exports_qgis\lidar\site09_patch04_lidar.png
exports_qgis:site10_large,exports_qgis,site10_large,site10,large,archeologique,archeologique,0.930597,0.930597,correct,data\exports_qgis\rgb\site10_large.png,data\exports_qgis\lidar\site10_large_lidar.png
exports_qgis:site10_neg01,exports_qgis,site10_neg01,site10,neg,non_archeologique,non_archeologique,0.116083,0.883917,correct,data\exports_qgis\rgb\site10_neg01.png,data\exports_qgis\lidar\site10_neg01_lidar.png
exports_qgis:site10_neg02,exports_qgis,site10_neg02,site10,neg,non_archeologique,non_archeologique,0.130212,0.869788,correct,data\exports_qgis\rgb\site10_neg02.png,data\exports_qgis\lidar\site10_neg02_lidar.png
exports_qgis:site10_negO3,exports_qgis,site10_negO3,site10,neg,non_archeologique,non_archeologique,0.293046,0.706954,correct,data\exports_qgis\rgb\site10_negO3.png,data\exports_qgis\lidar\site10_negO3_lidar.png
exports_qgis:site10_negO4,exports_qgis,site10_negO4,site10,neg,non_archeologique,non_archeologique,0.022387,0.977613,correct,data\exports_qgis\rgb\site10_negO4.png,data\exports_qgis\lidar\site10_negO4_lidar.png
exports_qgis:site10_negO5,exports_qgis,site10_negO5,site10,neg,non_archeologique,non_archeologique,0.023825,0.976175,correct,data\exports_qgis\rgb\site10_negO5.png,data\exports_qgis\lidar\site10_negO5_lidar.png
exports_qgis:site10_patch01,exports_qgis,site10_patch01,site10,patch,archeologique,archeologique,0.950972,0.950972,correct,data\exports_qgis\rgb\site10_patch01.png,data\exports_qgis\lidar\site10_patch01_lidar.png
exports_qgis:site10_patch02,exports_qgis,site10_patch02,site10,patch,archeologique,archeologique,0.951927,0.951927,correct,data\exports_qgis\rgb\site10_patch02.png,data\exports_qgis\lidar\site10_patch02_lidar.png
exports_qgis:site10_patch03,exports_qgis,site10_patch03,site10,patch,archeologique,archeologique,0.951292,0.951292,correct,data\exports_qgis\rgb\site10_patch03.png,data\exports_qgis\lidar\site10_patch03_lidar.png
exports_qgis:site10_patch04,exports_qgis,site10_patch04,site10,patch,archeologique,archeologique,0.828929,0.828929,correct,data\exports_qgis\rgb\site10_patch04.png,data\exports_qgis\lidar\site10_patch04_lidar.png
exports_qgis:site11_large,exports_qgis,site11_large,site11,large,archeologique,archeologique,0.875739,0.875739,correct,data\exports_qgis\rgb\site11_large.png,data\exports_qgis\lidar\site11_large_lidar.png
exports_qgis:site11_neg01,exports_qgis,site11_neg01,site11,neg,non_archeologique,non_archeologique,0.419035,0.580965,correct,data\exports_qgis\rgb\site11_neg01.png,data\exports_qgis\lidar\site11_neg01_lidar.png
exports_qgis:site11_neg02,exports_qgis,site11_neg02,site11,neg,non_archeologique,non_archeologique,0.109725,0.890275,correct,data\exports_qgis\rgb\site11_neg02.png,data\exports_qgis\lidar\site11_neg02_lidar.png
exports_qgis:site11_neg03,exports_qgis,site11_neg03,site11,neg,non_archeologique,non_archeologique,0.120208,0.879792,correct,data\exports_qgis\rgb\site11_neg03.png,data\exports_qgis\lidar\site11_neg03_lidar.png
exports_qgis:site11_neg04,exports_qgis,site11_neg04,site11,neg,non_archeologique,non_archeologique,0.205690,0.794310,correct,data\exports_qgis\rgb\site11_neg04.png,data\exports_qgis\lidar\site11_neg04_lidar.png
exports_qgis:site11_neg05,exports_qgis,site11_neg05,site11,neg,non_archeologique,non_archeologique,0.200423,0.799577,correct,data\exports_qgis\rgb\site11_neg05.png,data\exports_qgis\lidar\site11_neg05_lidar.png
exports_qgis:site11_neg06,exports_qgis,site11_neg06,site11,neg,non_archeologique,non_archeologique,0.120105,0.879895,correct,data\exports_qgis\rgb\site11_neg06.png,data\exports_qgis\lidar\site11_neg06_lidar.png
exports_qgis:site11_patch01,exports_qgis,site11_patch01,site11,patch,archeologique,archeologique,0.930649,0.930649,correct,data\exports_qgis\rgb\site11_patch01.png,data\exports_qgis\lidar\site11_patch01_lidar.png
exports_qgis:site11_patch02,exports_qgis,site11_patch02,site11,patch,archeologique,archeologique,0.706323,0.706323,correct,data\exports_qgis\rgb\site11_patch02.png,data\exports_qgis\lidar\site11_patch02_lidar.png
exports_qgis:site11_patch03,exports_qgis,site11_patch03,site11,patch,archeologique,archeologique,0.845878,0.845878,correct,data\exports_qgis\rgb\site11_patch03.png,data\exports_qgis\lidar\site11_patch03_lidar.png
exports_qgis:site11_patch04,exports_qgis,site11_patch04,site11,patch,archeologique,archeologique,0.854150,0.854150,correct,data\exports_qgis\rgb\site11_patch04.png,data\exports_qgis\lidar\site11_patch04_lidar.png
exports_qgis:site11_patch05,exports_qgis,site11_patch05,site11,patch,archeologique,archeologique,0.659508,0.659508,correct,data\exports_qgis\rgb\site11_patch05.png,data\exports_qgis\lidar\site11_patch05_lidar.png
exports_qgis:site12_large,exports_qgis,site12_large,site12,large,archeologique,archeologique,0.505385,0.505385,correct,data\exports_qgis\rgb\site12_large.png,data\exports_qgis\lidar\site12_large_lidar.png
exports_qgis:site12_neg01,exports_qgis,site12_neg01,site12,neg,non_archeologique,non_archeologique,0.226959,0.773041,correct,data\exports_qgis\rgb\site12_neg01.png,data\exports_qgis\lidar\site12_neg01_lidar.png
exports_qgis:site12_neg02,exports_qgis,site12_neg02,site12,neg,non_archeologique,non_archeologique,0.092018,0.907982,correct,data\exports_qgis\rgb\site12_neg02.png,data\exports_qgis\lidar\site12_neg02_lidar.png
exports_qgis:site12_neg03,exports_qgis,site12_neg03,site12,neg,non_archeologique,non_archeologique,0.030668,0.969332,correct,data\exports_qgis\rgb\site12_neg03.png,data\exports_qgis\lidar\site12_neg03_lidar.png
exports_qgis:site12_neg04,exports_qgis,site12_neg04,site12,neg,non_archeologique,non_archeologique,0.181510,0.818490,correct,data\exports_qgis\rgb\site12_neg04.png,data\exports_qgis\lidar\site12_neg04_lidar.png
exports_qgis:site12_neg05,exports_qgis,site12_neg05,site12,neg,non_archeologique,non_archeologique,0.027465,0.972535,correct,data\exports_qgis\rgb\site12_neg05.png,data\exports_qgis\lidar\site12_neg05_lidar.png
exports_qgis:site12_neg06,exports_qgis,site12_neg06,site12,neg,non_archeologique,non_archeologique,0.041316,0.958684,correct,data\exports_qgis\rgb\site12_neg06.png,data\exports_qgis\lidar\site12_neg06_lidar.png
exports_qgis:site12_neg07,exports_qgis,site12_neg07,site12,neg,non_archeologique,archeologique,0.467608,0.532392,false_positive,data\exports_qgis\rgb\site12_neg07.png,data\exports_qgis\lidar\site12_neg07_lidar.png
